,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
10,0.367,0.572,11,-8.723,0,0.0867,0.433,0.00549,0.109,0.195,80.726,audio_features,5LWNeUDJYidxGHgVs9UWka,spotify:track:5LWNeUDJYidxGHgVs9UWka,https://api.spotify.com/v1/tracks/5LWNeUDJYidxGHgVs9UWka,https://api.spotify.com/v1/audio-analysis/5LWNeUDJYidxGHgVs9UWka,211024,4
11,0.598,0.27,11,-15.867,1,0.1,0.636,0.0,0.128,0.331,153.381,audio_features,0QiSMMcwZN7Ydjn4gY5GqK,spotify:track:0QiSMMcwZN7Ydjn4gY5GqK,https://api.spotify.com/v1/tracks/0QiSMMcwZN7Ydjn4gY5GqK,https://api.spotify.com/v1/audio-analysis/0QiSMMcwZN7Ydjn4gY5GqK,129808,4
12,0.785,0.542,11,-5.956,0,0.195,0.806,0.0,0.111,0.791,119.992,audio_features,1ZBV78uS8EYJdNEM2Hfv46,spotify:track:1ZBV78uS8EYJdNEM2Hfv46,https://api.spotify.com/v1/tracks/1ZBV78uS8EYJdNEM2Hfv46,https://api.spotify.com/v1/audio-analysis/1ZBV78uS8EYJdNEM2Hfv46,240027,4
13,0.653,0.519,2,-3.989,1,0.0327,0.0522,0.0,0.129,0.441,84.033,audio_features,1W1fTA8eoQ7SwlWaQc2iTK,spotify:track:1W1fTA8eoQ7SwlWaQc2iTK,https://api.spotify.com/v1/tracks/1W1fTA8eoQ7SwlWaQc2iTK,https://api.spotify.com/v1/audio-analysis/1W1fTA8eoQ7SwlWaQc2iTK,114286,4
14,0.47,0.912,1,-3.803,1,0.394,0.152,0.000216,0.105,0.3,114.332,audio_features,1ybOtYZC4QcHN227HiOZBG,spotify:track:1ybOtYZC4QcHN227HiOZBG,https://api.spotify.com/v1/tracks/1ybOtYZC4QcHN227HiOZBG,https://api.spotify.com/v1/audio-analysis/1ybOtYZC4QcHN227HiOZBG,136752,5
15,0.567,0.451,4,-14.83,0,0.105,0.96,0.819,0.438,0.393,135.044,audio_features,2PPqOBD1xkx7jOy4s67kap,spotify:track:2PPqOBD1xkx7jOy4s67kap,https://api.spotify.com/v1/tracks/2PPqOBD1xkx7jOy4s67kap,https://api.spotify.com/v1/audio-analysis/2PPqOBD1xkx7jOy4s67kap,138204,4
16,0.55,0.643,8,-8.134,0,0.0489,0.844,0.0,0.102,0.179,98.876,audio_features,5RtW0EFRNFhHQVQrR39kMC,spotify:track:5RtW0EFRNFhHQVQrR39kMC,https://api.spotify.com/v1/tracks/5RtW0EFRNFhHQVQrR39kMC,https://api.spotify.com/v1/audio-analysis/5RtW0EFRNFhHQVQrR39kMC,263288,4
17,0.507,0.852,1,-3.34,1,0.0757,0.0133,0.0,0.0794,0.429,82.501,audio_features,5PK7AzBXo9hiOWxxqkSC1S,spotify:track:5PK7AzBXo9hiOWxxqkSC1S,https://api.spotify.com/v1/tracks/5PK7AzBXo9hiOWxxqkSC1S,https://api.spotify.com/v1/audio-analysis/5PK7AzBXo9hiOWxxqkSC1S,129000,4
18,0.753,0.632,9,-8.054,1,0.0423,0.122,0.0,0.198,0.718,91.047,audio_features,2DBzFlduaVzw2EHdP1ZnbG,spotify:track:2DBzFlduaVzw2EHdP1ZnbG,https://api.spotify.com/v1/tracks/2DBzFlduaVzw2EHdP1ZnbG,https://api.spotify.com/v1/audio-analysis/2DBzFlduaVzw2EHdP1ZnbG,147758,4
19,0.587,0.229,10,-11.254,0,0.128,0.92,0.0,0.1,0.379,75.67,audio_features,6Kkt27YmFyIFrcX3QXFi2o,spotify:track:6Kkt27YmFyIFrcX3QXFi2o,https://api.spotify.com/v1/tracks/6Kkt27YmFyIFrcX3QXFi2o,https://api.spotify.com/v1/audio-analysis/6Kkt27YmFyIFrcX3QXFi2o,171728,4
20,0.661,0.665,4,-6.356,0,0.053,0.538,0.0,0.0981,0.486,75.059,audio_features,7pbg3ABlAZv2NiIdKbBBFm,spotify:track:7pbg3ABlAZv2NiIdKbBBFm,https://api.spotify.com/v1/tracks/7pbg3ABlAZv2NiIdKbBBFm,https://api.spotify.com/v1/audio-analysis/7pbg3ABlAZv2NiIdKbBBFm,147548,4
21,0.732,0.677,10,-4.964,1,0.0418,0.176,0.0,0.116,0.57,150.067,audio_features,3mkPGR4NklNB3Y77c3mrOS,spotify:track:3mkPGR4NklNB3Y77c3mrOS,https://api.spotify.com/v1/tracks/3mkPGR4NklNB3Y77c3mrOS,https://api.spotify.com/v1/audio-analysis/3mkPGR4NklNB3Y77c3mrOS,143500,4
22,0.722,0.58,5,-8.242,0,0.046,0.757,1.51e-06,0.335,0.359,125.092,audio_features,49JuBQEJhVZv0uAs2wpjwE,spotify:track:49JuBQEJhVZv0uAs2wpjwE,https://api.spotify.com/v1/tracks/49JuBQEJhVZv0uAs2wpjwE,https://api.spotify.com/v1/audio-analysis/49JuBQEJhVZv0uAs2wpjwE,147840,4
23,0.634,0.32,1,-9.514,1,0.093,0.911,0.000159,0.0859,0.41,79.931,audio_features,6hbK9zJUAlB5PYL15SzKtB,spotify:track:6hbK9zJUAlB5PYL15SzKtB,https://api.spotify.com/v1/tracks/6hbK9zJUAlB5PYL15SzKtB,https://api.spotify.com/v1/audio-analysis/6hbK9zJUAlB5PYL15SzKtB,150000,4
24,0.664,0.399,6,-11.661,1,0.0743,0.791,0.0,0.116,0.424,133.904,audio_features,1TYF5FyxFXC6bM2VOuNWhV,spotify:track:1TYF5FyxFXC6bM2VOuNWhV,https://api.spotify.com/v1/tracks/1TYF5FyxFXC6bM2VOuNWhV,https://api.spotify.com/v1/audio-analysis/1TYF5FyxFXC6bM2VOuNWhV,200602,4
